en,de
It's 3:30.,Es ist halb vier.
It's 8:30.,Es ist 8:30 Uhr.
It's a TV.,Das ist ein Fernseher.
It's dark.,Es ist dunkel.
It's fair.,Es ist gerecht.
It's gone.,Es ist verschwunden.
It's here.,Es ist hier.
It's mine.,Sie gehört mir.
It's open.,Es ist geöffnet.
It's sand.,Es ist Sand.
It's work.,Das ist meine Arbeit.
Keep away.,Bleib weg.
Keep back.,Bleiben Sie zurück.
Keep cool.,Bleib gelassen!
Keep them.,Behalte sie.
Keep them.,Behalt sie!
Keep warm.,Haltet euch warm.
Kill them.,Tötet sie!
Kill them.,Bringt sie um!
Leave Tom.,Verlassen Sie Tom.
Let it be.,Lass es sein.
Let me go!,Lassen Sie mich gehen!
Let us go.,Lass uns gehen.
Let's see.,Schauen wir mal.
Let's try!,Lass es uns versuchen!
Listen up.,Hör zu.
Look back!,Schau nach hinten!
Look here.,Schau hier.
Loosen up.,Mach dich locker!
Of course!,Natürlich!
Of course!,Na klar!
Please go.,Bitte geht.
Put it on.,Tu es drauf.
Put it on.,Setz sie auf.
Put it on.,Setz ihn dir auf.
Repeat it.,Wiederholen Sie es
Say hello.,Sag Hallo.
Seize him!,Fassen Sie ihn!
Seriously?,Echt?
Seriously?,Echt jetzt?
She walks.,Sie geht.
Sign here.,Unterschreibe hier.
Sign this.,Unterschreib das.
Sit still.,Sitzen Sie still.
Start now.,Beginnen Sie jetzt.
Stay back.,Bleibt zurück!
Stay cool.,Bleib ruhig.
Stay cool.,Bleib cool.
Stay down.,Bleib unten!
Step back.,Tritt zurück!
Stop here.,Halte hier an.
Stop that!,Hör auf damit!
Stop them.,Stopp sie.
Take care!,Gib auf dich Acht!
Take mine.,Nimm meins.
Take mine.,Nehmt meins.
Take mine.,Nehmen Sie meins.
Take over.,Übernimm du.
Take this.,Nimm das.
That hurt.,Das tat weh.
That's OK.,Das ist o.k.
That's me.,Ich bin jetzt fertig.
They fell.,Sie stürzten.
They lost.,Sie haben verloren.
Tom began.,Thomas begann.
Tom began.,Thomas hat angefangen.
Tom cooks.,Tom kocht.
Tom dozed.,Tom döste.
Tom is OK.,Tom ist in Ordnung.
Tom knelt.,Tom kniete.
Tom knits.,Tom strickt.
Tom moved.,Tom bewegte sich.
Tom slept.,Tom schlief.
Tom spoke.,Tom redete.
Tom swore.,Tom fluchte.
Tom tries.,Tom versucht es.
Tom walks.,Tom geht zu Fuß.
Tom'll go.,Tom wird gehen.
Tom's sad.,Tom ist traurig.
Trust Tom.,Vertrauen Sie Tom!
Try again.,Versuch es noch einmal.
Try it on.,Probier sie an!
Unlock it.,Entsperr es.
Watch Tom.,Seht Tom zu!
We can go.,Wir können gehen.
We failed.,Wir sind gescheitert.
We limped.,Wir hinkten.
We saw it.,Wir sahen es.
We talked.,Wir haben uns unterhalten.
We'll see.,Wir werden sehen.
We're hot.,Uns ist heiß.
We're shy.,Wir sind schüchtern.
What's on?,Was ist los?
Who cares?,Wen kümmert’s?
Who drove?,Wer fuhr?
Who spoke?,Wer hat gesprochen?
Who'll go?,Wer geht?
Wonderful!,Wunderbar!
Write Tom.,Schreiben Sie Tom!
You drive.,Sie fahren.
You start.,Du fängst an.
You stink.,Sie stinken.
Aim higher.,Ziel höher!
All aboard!,Alle Mann an Bord!
Am I fired?,Bin ich gefeuert?
Am I right?,Liege ich richtig?
Am I wrong?,Irre ich mich?
Answer Tom.,Antwortet Tom!
Are you OK?,Geht es euch gut?
Are you up?,Bist du auf?
Ask around.,Frag herum.
Be careful!,Vorsicht!
Be careful.,Gib Obacht!
Be on time.,Sei pünktlich.
Be serious.,Bleib mal auf dem Boden der Tatsachen!
Bring food.,Bring Essen mit.
Bring wine.,Bring Wein.
Can I help?,Kann ich helfen?
Can I stay?,Kann ich bleiben?
Check that.,Prüfen Sie das nach!
Choose one.,Such dir eine aus.
Come again.,Kommen Sie wieder.
Come alone.,Kommt allein.
Come early.,Kommen Sie frühzeitig.
Come on in!,Komm doch herein!
Come quick!,Kommt schnell!
Come to me.,Komm zu mir.
Destroy it.,Mach es kaputt.
Did we win?,Haben wir gewonnen?
Do come in.,Komm doch rein!
Don't brag.,Gib nicht an.
Don't come.,Kommen Sie nicht!
Don't jump.,Spring nicht!
Don't move.,Nicht bewegen!
Don't rush.,Nur nicht so eilig.
Don't talk!,Nicht reden!
Don't wait.,Wartet nicht!
Don't yell.,Schreien Sie nicht!
Drink this.,Trink das hier!
Examine it.,Untersuchen Sie es.
Find a job.,Besorgt euch einen Job.
Follow Tom.,Folge Tom.
Follow him.,Folge ihm!
Forgive us.,Vergib uns.
Get inside.,Komm herein.
Get off me.,Runter von mir!
Give it up.,Gib es auf!
Go to work.,Geh arbeiten!
God exists.,Gott existiert.
He ate out.,"Er ist weggegangen, um zu essen."
He got a D.,Er bekam ein „ausreichend“.
He hung up.,Er hat aufgelegt.
He is busy.,Er ist beschäftigt.
He is kind.,Er ist liebenswürdig.
He is mean.,Er ist fies.
He is tall.,Er ist groß.
He made it.,Er schaffte es.
He's cruel.,Er ist grausam.
He's smart.,Er ist elegant.
"Hello, Tom.","Hallo, Tom."
Here we go.,Los geht's.
Hold still.,Halt still!
Hold tight.,Halt dich fest.
How boring!,Wie langweilig!
How clever!,Wie klug!
How was it?,Wie war es?
Hurry home.,Gehen Sie schnell nach Hause.
I am a man.,Ich bin ein Mann.
I am happy.,Ich bin froh.
I am ready.,Ich bin fertig.
I am right.,Ich habe Recht.
I built it.,Ich habe ihn gebaut.
I can cook.,Ich kann kochen.
I can sing.,Ich kann singen.
I can wait.,Ich kann warten.
I canceled.,Ich habe abgesagt.
I disagree.,Ich bin anderer Meinung.
I eat here.,Ich esse hier.
I envy Tom.,Ich beneide Tom.
I feel bad.,Ich fühle mich schlecht.
I fixed it.,Ich habe ihn repariert.
I found it.,Ich habe ihn gefunden.
I got cold.,Mir wurde kalt.
I have one.,Ich habe eine.
I have won.,Ich gewann.
I hear you.,Ich höre dich.
I hear you.,"Ich verstehe, was ihr sagt."
I heard it.,Ich habe es vernommen.
I just ate.,Ich habe gerade gegessen.
I know her.,Ich kenne sie.
I like Tom.,Ich mag Tom.
I like tea.,Ich mag Tee.
I listened.,Ich hörte zu.
I love her.,Ich liebe sie.
I love you.,Ich liebe Sie.
I love you.,Ich liebe dich.
I made tea.,Ich machte Tee.
I miss Tom.,Ich vermisse Tom.
I miss you.,Ich vermisse Sie.
I need Tom.,Ich brauche Tom.
I need you.,Ich brauche dich.
I panicked.,Ich geriet in Panik.
I ran away.,Ich rannte davon.
I remember.,Ich erinnere mich.
I said yes.,Ich sagte ja.
I saw them.,Ich habe sie gesehen.
I survived.,Ich habe überlebt.
I threw up.,Ich habe gekotzt.
I told Tom.,Ich habe es Tom gesagt.
I want Tom.,Ich will Tom.
I want one!,Ich will eine!
I want you.,Ich will dich!
I was calm.,Ich war ruhig.
I was here.,Ich war hier.
I was sick.,Ich habe gekotzt.
I was sick.,Ich habe erbrochen.
I won't go.,Ich werde nicht gehen.
I'll go in.,Ich werde reingehen.
I'll stand.,Ich werde stehen.
I'm a cook.,Ich bin ein Koch.
I'm a monk.,Ich bin ein Mönch.
I'm amazed.,Ich bin aus allen Wolken gefallen.
I'm baking.,Ich koche gerade.
I'm buying.,Ich bezahle.
I'm coming.,Ich komme.
I'm eating.,Ich esse.
I'm for it.,Ich bin dafür.
I'm hiding.,Ich verstecke mich gerade.
I'm hungry.,Ich bin hungrig!
I'm in bed.,Ich bin im Bett.
I'm losing.,Ich bin am Verlieren.
I'm mature.,Ich bin reif.
I'm rested.,Ich bin ausgeruht.
I'm single.,Ich bin ledig.
I'm sleepy!,Ich bin müde!
I'm so fat.,Ich bin so fett.
I'm thirty.,Ich bin dreißig.
I'm twelve.,Ich bin zwölf Jahre alt.
I've tried.,Ich habe es versucht.
Is Tom hot?,Ist Tom zu heiß?
Is Tom out?,Ist Tom ausgegangen?
Is it done?,Ist es fertig?
Is it love?,Ist das Liebe?
Is it over?,Ist es vorbei?
Is it time?,Ist es so weit?
Is this OK?,Ist das okay?
It happens.,Es kommt vor.
It matters.,Das ist wichtig.
It was bad.,Es war schlecht.
It was sad.,Es war traurig.
It's Tom's.,Das gehört Tom.
It's a fad.,Das ist eine Modeerscheinung.
It's awful.,Es ist furchtbar.
It's bogus.,Das ist mies.
It's bulky.,Es ist unhandlich.
It's clean.,Er ist sauber.
It's early.,Es ist früh.
It's my CD.,Das ist meine CD.
It's ready.,Es ist bereit.
It's stuck.,Es steckt fest.
It's white.,Es ist weiß.
It's yours.,Es gehört dir.
Just relax.,Entspann dich einfach!
Keep it up.,Nicht nachlassen!
Keep notes.,Macht Notizen.
Keep still.,Halt still!
Let Tom go.,Lass Tom gehen!
Let Tom go.,Lassen Sie Tom los!
Let Tom in.,Lassen Sie Tom rein.
Let me die.,Lass mich sterben.
Let me pay.,Lass mich zahlen.
Let me see.,Lassen Sie mich sehen.
Let me try.,Lass mich versuchen.
Let us out.,Lassen Sie uns heraus!
Let's vote.,Lasst uns abstimmen.
Let's work.,Arbeiten wir!
Look ahead.,Schauen Sie nach vorne.
Look at it.,Schau es dir an.
Look at us.,Schau uns an.
Love hurts.,Liebe tut weh.
Never mind!,Mach dir nichts draus!
No kidding?,Wirklich?
No kidding?,Im Ernst?
No problem.,Ohne Probleme.
"Oh, really?","Ach, wirklich?"
Pick it up.,Hebe es auf.
Please eat.,Esst bitte!
Quiet down.,Beruhige dich!
Quiet down.,Seid leise.
Replace it.,Ersetze es.
Replace it.,Tauschen Sie es aus.
Run faster.,Lauf schneller!
Say cheese.,Bitte recht freundlich!
Scoot over.,Rutsch mal.
She smiled.,Sie hat gelächelt.
Sing along.,Sing mit!
Start here.,Beginnen Sie hier.
Start over.,Fang noch mal von vorne an.
Stay awake.,Bleiben Sie wach.
Stay sharp.,Bleibt wachsam!
Step aside.,Geh zur Seite!
Step on it!,Gib Gas!
Stop lying.,Hör auf zu lügen!
Stop there.,Bleib dort stehen.
Take a bus.,Nehmen Sie einen Bus.
Take a nap.,Machen Sie ein Nickerchen.
Take cover!,Gehen Sie in Deckung!
Take these.,Nehmt das hier.
Talk to me!,Rede mit mir!
Taste this.,Schmecken Sie das.
That hurts.,Das tut weh.
That's all.,Das ist alles.
That's sad.,Das ist betrüblich.
They agree.,Sie sind einverstanden.
They cheat.,Sie schummeln.
They stood.,Sie standen.
They voted.,Sie haben gewählt.
Think hard.,Denkt scharf nach!
This is it.,Das ist es.
Time is up.,Die Zeit ist um.
Tom agrees.,Tom ist einverstanden.
Tom braked.,Tom bremste.
Tom called.,Tom hat angerufen.
Tom cheats.,Tom mogelt.
Tom danced.,Tom tanzte.
Tom did it.,Tom hat das getan.
Tom drives.,Tom fährt Auto.
Tom forgot.,Tom vergaß.
Tom gasped.,Tom schnappte nach Luft.
Tom got up.,Tom stand auf.
Tom helped.,Tom hat geholfen.
Tom is big.,Tom ist groß.
Tom is hot.,Tom ist heiß.
Tom is new.,Tom ist neu.
Tom is out.,Tom ist nicht hier.
Tom is shy.,Tom ist schüchtern.
Tom limped.,Tom hinkte.
Tom moaned.,Tom stöhnte.
Tom obeyed.,Tom fügte sich.
Tom paints.,Tom malt.
Tom phoned.,Tom hat telefoniert.
Tom prayed.,Tom hat gebetet.
Tom saw it.,Tom sah es.
Tom saw us.,Tom sah uns.
Tom sighed.,Tom seufzte.
Tom smoked.,Tom hat geraucht.
Tom sobbed.,Tom schluchzte.
Tom talked.,Tom hat gesprochen.
Tom walked.,Tom lief.
Tom worked.,Tom hat gearbeitet.
Tom yelled.,Tom schrie.
Tom'll die.,Tom wird sterben.
Tom's deaf.,Tom ist taub.
Tom's free.,Tom hat Zeit.
Tom's gone.,Tom ist weg.
Tom's hurt.,Tom ist verletzt.
Tom's safe.,Tom ist in Sicherheit.
Tom's weak.,Tom ist schwach.
Tough luck!,Pech gehabt!
Try harder.,Strengen Sie sich mehr an.
Try it now.,Versuch's jetzt mal!
Turn it on.,Macht es an!
Turn it on.,Schalte ihn an.
Turn it up.,Mach es lauter.
Wait a bit.,Wartet ein bisschen.
Wait a sec.,Moment mal!
War is bad.,Krieg ist schlecht.
Watch this.,Guck mal.
We are men.,Wir sind Männer.
We can try.,Wir können es versuchen.
We had fun.,Wir hatten unseren Spaß.
We lost it.,Wir haben es verloren.
We lost it.,Wir rasteten aus.
We made it.,Wir haben es geschafft.
We want it.,Wir wollen es.
We'll fail.,Wir werden durchfallen.
We'll sing.,Wir werden singen.
We'll walk.,Wir werden laufen.
We're back.,Wir sind wieder da.
We're cold.,Uns ist kalt.
We're here.,Wir sind hier.
We're late.,Wir sind spät dran.
We're open.,Geöffnet.
We're safe.,Wir sind sicher.
What gives?,Was ist los?
What is it?,Was gibt es?
Where am I?,Wo bin ich?
Who did it?,Wer hat es gemacht?
Who has it?,Wer hat es?
Who is she?,Wer ist sie?
Who saw me?,Wer sah mich?
Who stayed?,Wer ist geblieben?
Who was it?,Wer war’s?
Who'll row?,Wer rudert?
Who's next?,Wer ist als nächstes dran?
Why bother?,Was soll's bringen?
You agreed.,Du warst einverstanden.
You can go.,Du kannst gehen.
You decide.,Sie entscheiden.
You may go.,Sie können gehen.
You missed.,Sie haben nicht getroffen.
You're old.,Du bist alt.
You've won!,Ihr habt gewonnen!
Am I stupid?,Bin ich dumm?
Are we done?,Sind wir fertig?
Are we lost?,Haben wir uns verlaufen?
Are you Tom?,Sind Sie Tom?
Are you hot?,Ist dir heiß?
Are you mad?,Bist du verrückt?
Are you mad?,Hast du einen Vogel?
Are you shy?,Bist du schüchtern?
Be creative.,Sei kreativ!
Be discreet.,Seid diskret!
Be merciful.,Sei gnädig!
Be prepared.,Sei gewappnet!
Be punctual.,Sei pünktlich.
Be ruthless.,Sei gnadenlos!
Be sensible.,Sei vernünftig!
Be specific.,Seien Sie spezifisch.
Be thorough.,Seien Sie gründlich.
Be vigilant.,Seid wachsam.
Be yourself.,Sei du selbst!
Boys do cry.,Jungen weinen sehr wohl.
Breathe out.,Atme aus.
Can it wait?,Kann das noch warten?
Can we sing?,Können wir singen?
Can we swim?,Können wir schwimmen?
Can you ski?,Kannst du Ski fahren?
Can you try?,Können Sie es versuchen?
Come aboard.,Kommen Sie an Bord!
Come closer.,Kommt näher.
Come get me.,Fang mich doch!
Comfort Tom.,Tröste Tom.
Contact Tom.,Setz dich mit Tom in Verbindung.
Cook for me.,Koche für mich.
Count me in.,Ich bin dabei!
Did Tom cry?,Hat Tom geweint?
Did Tom run?,Ist Tom gerannt?
Did it work?,Hat es funktioniert?
Do it again.,Mach es nochmal.
Do you bowl?,Kegeln Sie?
Do you mind?,Macht es dir etwas aus?
Don't do it!,Tu es nicht!
Don't go in.,Geh nicht rein.
Don't laugh.,Lachen Sie nicht!
Don't panic.,Keine Panik.
Don't smile.,Lach nicht.
Don't stare.,Starren Sie nicht!
Don't worry.,Mache dir keine Sorgen!
Eat with us.,Iss mit uns.
Finish this.,Schließen Sie das ab.
Flip a coin.,Werfen Sie eine Münze.
Forgive Tom.,Vergeben Sie Tom!
Get dressed.,Zieh dich an!
Get started.,Leg los.
Get started.,Fangen Sie an.
Get started.,Fang schon mal an.
Go find Tom.,Gehe hin und suche Tom!
Go find out.,Geht und findet es heraus.
Go home now.,Geh sofort nach Hause!
Go on board.,Geht an Bord!
Go with Tom.,Geh mit Tom.
Guess again.,Ratet noch einmal!
Have we met?,Kennen wir uns?
He can swim.,Er kann schwimmen.
He got away.,Er ist davongekommen.
He has wine.,Er hat Wein.
He is eight.,Er ist acht.
He is hated.,Er ist verhasst.
He loves us.,Er liebt uns.
He relented.,Er lenkte ein.
He stood up.,Er stand auf.
He's a jerk.,Er ist ein Blödmann.
He's asleep.,Er schläft.
He's loaded.,Er ist stinkreich.
He's not in.,Er ist nicht zuhause.
He's not in.,Er ist nicht da.
He's wasted.,Er ist stockbesoffen.
Here she is!,Hier ist sie!
"Here, catch!","Da, fangt!"
"Hi, I'm Tom.","Hallo, ich bin Tom."
How are you?,Wie geht es dir?
How are you?,Wie geht es euch?
How goes it?,Wie läuft's?
I adore you.,Ich verehre dich.
I adore you.,Ich bete dich an.
I am a cook.,Ich bin ein Koch.
I am better.,Ich bin besser.
I am online.,Ich bin online.
I apologize.,Es tut mir leid.
I assume so.,Das nehme ich an.
I blame Tom.,Ich gebe Tom die Schuld.
I bought it.,Ich habe ihn gekauft.
I can drive.,Ich kann Auto fahren.
I can't eat.,Ich kann nicht essen.
I can't see.,Ich kann nicht sehen!
I didn't go.,Ich ging nicht.
I disagreed.,Ich war anderer Meinung.
I disagreed.,Ich bin anderer Meinung gewesen.
I dozed off.,Ich döste ein.
I eat bread.,Ich esse Brot.
I feel blue.,Ich bin traurig.
I feel good.,Es geht mir gut.
I feel weak.,Ich fühle mich schwach.
I felt cold.,Mir war kalt.
I fired Tom.,Ich habe Tom gefeuert.
I found you.,Ich habe dich gefunden.
I got angry.,Ich wurde wütend.
I had a job.,Ich hatte eine Arbeitsstelle.
I hate bugs.,Ich hasse Insekten.
I hate fish.,Ich hasse Fisch.
I hate milk.,Ich hasse Milch.
I hate that.,Ich hasse das.
I hate them.,Ich hasse sie.
I hate this.,Ich hasse die.
I have $300.,Ich habe dreihundert Dollar.
I have eyes.,Ich habe Augen.
I have more.,Ich habe noch mehr.
I have wine.,Ich habe Wein.
I hesitated.,Ich habe gezögert.
I knew that.,Ich wusste das.
I know this.,Ich weiß das.
I like cake.,Ich mag Kuchen.
I like fish.,Ich mag Fisch gern.
I like jazz.,Ich mag Jazz.
I like math.,Ich mag Mathematik.
I like snow.,Ich mag Schnee.
I like this.,Ich mag das.
I live here.,Ich wohne hier.
I lost face.,Ich habe das Gesicht verloren.
I love beer.,Ich liebe Bier.
I love kids.,Ich liebe Kinder.
I love math.,Ich liebe Mathematik.
I love rock.,Ich mag Rock.
I love soup.,Ich liebe Suppe.
I loved you.,Ich habe dich geliebt.
I made rice.,Ich habe Reis gemacht.
I must obey.,Ich muss gehorchen.
I need help.,Ich brauche Hilfe.
I need more.,Ich brauche mehr.
I need time.,Ich brauche Zeit.
I never win.,Ich gewinne nie.
I overslept.,Ich habe verschlafen.
I recovered.,Ich habe mich erholt.
